x0_index,method,n_reps,n_unlab_clusters,coverage,coverage_cluster_se,coverage_cluster_sd,bias,abs_bias,rmse,se_mean,width,emp_sd,theta0_mean,theta_hat_mean,lambda_factor_mean,h_factor_mean,R_MB_mean,R_GH_mean,bias_score_mean,bias_budget_mean,fallback_rate,sigma2_Y_mean,sigma2_Y_minus_f_mean,sigma2_f_mean,tuning_seconds_mean_per_unlab_draw,estimation_seconds_mean,amortized_procedure_seconds_mean,nw_corr_mean,nw_relative_difference_mean,negative_weight_fraction_mean,M_lambda_over_eigmax_mean,width_ratio_vs_GH_P1_c300,rmse_ratio_vs_GH_P1_c300
0,GH_P1_c300,1000,50,0.952,0.0066944997222057,0.0473372615022311,-0.0016714584096882,0.0016714584096882,0.0349990294527481,0.0357286955802926,0.1400564866747473,0.0349765871844307,0.5148905614993183,0.5132191030896299,4216.965034285823,1.0,2764.9159000286904,285.0572676389217,285.0572676389217,300.0,0.0,0.0028353170150011,0.0011683774823621,0.0017041772188035,21.651172479819508,0.0060810205163434,1.088639644507319,0.9999198334520956,0.0039294892222452,3.4e-05,14.243478572883909,1.0,1.0
0,LO_GH_P1_c300w,1000,50,0.939,0.0090677720414619,0.064118831007715,-0.0042976430806853,0.0042976430806853,0.0550027001406055,0.0545559491827567,0.2138593207964066,0.0548619825000176,0.5148905614993183,0.5105929184186329,,,2764.9159000286904,285.0572676389217,285.0572676389217,300.0,,0.0028343830703534,,,21.651172479819508,0.0059964810563251,1.0885551050473006,0.9999198334520956,0.0039294892222452,3.4e-05,14.243478572883909,1.5269504888627643,1.5715492972416338
0,PPI_global,1000,50,0.169,0.0126079016364131,0.089151327436407,0.1137753411122349,0.1137753411122349,0.1200696380352842,0.0389646222595349,0.1527413192573771,0.038384412146268,0.5148905614993183,0.6286659026115532,,,,,,,,,,,0.0,8.163938112556935e-05,8.163938112556935e-05,,,,,1.0905694044152898,3.4306562185499776
1,GH_P1_c300,1000,50,0.948,0.0080761680143443,0.0571071316894476,0.0126663690083853,0.0126663690083853,0.0387680258215658,0.0378133997925504,0.1482285271867978,0.0366587887011292,0.5411188887218189,0.5537852577302043,516.6820278047704,1.0,2328.504722568189,45.12040514519824,45.12040514519824,300.0,0.0,0.1060867028911878,0.0409917554582017,0.0664106697781181,21.688584318961947,0.0060988213233649,1.0905280372714623,0.987446714690424,0.0470360692126222,2.6e-05,1.916494596672594,1.0,1.0
1,LO_GH_P1_c300w,1000,50,0.955,0.006738557951469,0.0476488002290226,0.0118314382478107,0.0118314382478107,0.0607799744849307,0.0595109655239494,0.2332829848538816,0.0596471302538906,0.5411188887218189,0.5529503269696298,,,2328.504722568189,45.12040514519824,45.12040514519824,300.0,,0.1060299674809739,,,21.688584318961947,0.006014396241866,1.0904436121899632,0.987446714690424,0.0470360692126222,2.6e-05,1.916494596672594,1.5738062657797174,1.567786163904178
1,PPI_global,1000,50,0.366,0.0193485748038137,0.1368150845007186,0.0882520116670308,0.0882520116670308,0.0959125355310301,0.0389655769335099,0.152745061579359,0.0375793709078691,0.5411188887218189,0.6293709003888498,,,,,,,,,,,0.0,8.214258402585983e-05,8.214258402585983e-05,,,,,1.030470075351079,2.474011340491734
2,GH_P1_c300,1000,50,0.963,0.0066715968164774,0.0471753135027381,0.0031000878427314,0.0031000878427314,0.0355827186077468,0.0369040733419425,0.1446639675004148,0.0354651532631881,0.5560387350995598,0.5591388229422912,513.3896678819067,1.0,5361.014422453836,50.64614140428966,50.64614140428966,300.0,0.0,0.0896437374004887,0.035332627502626,0.0557363078125149,22.93513042896986,0.0068440406080335,1.1536005620565264,0.9793324567821424,0.040180856355493,4.600000000000001e-05,1.4304447161534868,1.0,1.0
2,LO_GH_P1_c300w,1000,50,0.954,0.0075376605475845,0.0532993088747932,0.0039571237161062,0.0039571237161062,0.0578984514276837,0.0576452928122388,0.2259695478239764,0.0577919696963225,0.5560387350995598,0.559995858815666,,,5361.014422453836,50.64614140428966,50.64614140428966,300.0,,0.0896680644237925,,,22.93513042896986,0.0067540891449898,1.1535106105934827,0.9793324567821424,0.040180856355493,4.600000000000001e-05,1.4304447161534868,1.5620306267580308,1.6271508668558672
2,PPI_global,1000,50,0.491,0.0194143855773737,0.137280436943313,0.0766490437712036,0.0766490437712036,0.0853978627918453,0.0390680991745668,0.153146948764302,0.0376714506831303,0.5560387350995598,0.6326877788707634,,,,,,,,,,,0.0,8.204170130193233e-05,8.204170130193233e-05,,,,,1.0586392134161735,2.399981399208012
3,GH_P1_c300,1000,50,0.95,0.0090350790290525,0.0638876564999939,0.0023085020301939,0.0023085020301939,0.035820881595931,0.0371502088762233,0.1456288187947955,0.0357643043011946,0.4874660834667249,0.489774585496919,4869.675251658629,1.0,1126.178237197517,295.2622610273761,295.2622610273761,300.0,0.0,0.0024517417512152,0.0010563175316944,0.0013849781049009,23.942007897440345,0.0071314152730628,1.20423181014508,0.9999623114571448,0.0042958564540077,3e-05,22.344613825784485,1.0,1.0
